ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Xray-Pb,Xray-Th
1808,615.139,256.944,183.350,159.964,95.118,74.606,0.000,13.624,0.000,0.000,0.000,0.000,0.000
1809,615.482,245.167,182.710,159.752,95.017,74.079,0.000,13.611,0.000,0.000,0.000,0.000,0.000
1810,615.825,205.723,182.082,159.540,94.916,73.566,0.000,13.598,0.000,0.000,0.000,0.000,0.000
1811,616.169,203.722,181.467,159.328,94.814,73.066,0.000,13.584,0.000,0.000,0.000,0.000,0.000
1812,616.512,228.721,180.864,159.116,94.711,72.579,0.000,13.571,0.000,0.000,0.000,0.000,0.000
1813,616.856,234.832,180.273,158.903,94.608,72.105,0.000,13.557,0.000,0.000,0.000,0.000,0.000
1814,617.199,229.091,179.695,158.691,94.504,71.644,0.000,13.544,0.000,0.000,0.000,0.000,0.000
1815,617.542,210.721,179.128,158.479,94.400,71.196,0.000,13.530,0.000,0.000,0.000,0.000,0.000
1816,617.886,218.239,178.573,158.267,94.294,70.760,0.000,13.517,0.000,0.000,0.000,0.000,0.000
1817,618.229,197.240,178.029,158.055,94.188,70.336,0.000,13.503,0.000,0.000,0.000,0.000,0.000
1818,618.573,208.203,177.496,157.843,94.081,69.924,0.000,13.489,0.000,0.000,0.000,0.000,0.000
1819,618.916,209.646,176.974,157.631,93.974,69.524,0.000,13.475,0.000,0.000,0.000,0.000,0.000
1820,619.259,191.979,176.463,157.419,93.865,69.135,0.000,13.460,0.000,0.000,0.000,0.000,0.000
1821,619.603,205.016,175.962,157.207,93.756,68.757,0.000,13.446,0.000,0.000,0.000,0.000,0.000
1822,619.946,197.053,175.471,156.994,93.646,68.390,0.000,13.432,0.000,0.000,0.000,0.000,0.000
1823,620.289,163.425,174.990,156.782,93.536,68.034,0.000,13.417,0.000,0.000,0.000,0.000,0.000
1824,620.632,183.091,174.519,156.570,93.425,67.689,0.000,13.403,0.000,0.000,0.000,0.000,0.000
1825,620.976,211.053,174.058,156.358,93.314,67.353,0.000,13.388,0.000,0.000,0.000,0.000,0.000
1826,621.319,215.202,173.606,156.146,93.202,67.028,0.000,13.374,0.000,0.000,0.000,0.000,0.000
1827,621.662,198.424,173.163,155.934,93.090,66.712,0.000,13.359,0.000,0.000,0.000,0.000,0.000
1828,622.006,193.127,172.729,155.722,92.977,66.406,0.000,13.344,0.000,0.000,0.000,0.000,0.000
1829,622.349,175.237,172.304,155.510,92.864,66.109,0.000,13.330,0.000,0.000,0.000,0.000,0.000
1830,622.692,196.719,171.888,155.298,92.750,65.821,0.000,13.315,0.000,0.000,0.000,0.000,0.000
1831,623.035,194.868,171.480,155.085,92.636,65.541,0.000,13.300,0.000,0.000,0.000,0.000,0.000
1832,623.379,175.535,171.080,154.873,92.522,65.270,0.000,13.285,0.000,0.000,0.000,0.000,0.000
1833,623.722,170.608,170.687,154.661,92.407,65.008,0.000,13.270,0.000,0.000,0.000,0.000,0.000
1834,624.065,198.349,170.303,154.449,92.293,64.753,0.000,13.255,0.000,0.000,0.000,0.000,0.000
1835,624.408,142.164,169.926,154.237,92.178,64.506,0.000,13.240,0.000,0.000,0.000,0.000,0.000
1836,624.751,188.497,169.556,154.025,92.062,64.267,0.000,13.225,0.000,0.000,0.000,0.000,0.000
1837,625.094,178.793,169.194,153.813,91.947,64.035,0.000,13.210,0.000,0.000,0.000,0.000,0.000
1838,625.438,183.201,168.838,153.601,91.832,63.809,0.000,13.195,0.000,0.000,0.000,0.000,0.000
1839,625.781,172.571,168.489,153.389,91.716,63.591,0.000,13.179,0.000,0.000,0.000,0.000,0.000
1840,626.124,196.904,168.147,153.176,91.601,63.379,0.000,13.164,0.000,0.000,0.000,0.000,0.000
1841,626.467,158.164,167.811,152.964,91.485,63.174,0.000,13.149,0.000,0.000,0.000,0.000,0.000
1842,626.810,165.200,167.482,152.752,91.370,62.975,0.000,13.134,0.000,0.000,0.000,0.000,0.000
1843,627.153,145.200,167.159,152.540,91.255,62.783,0.000,13.119,0.000,0.000,0.000,0.000,0.000
1844,627.496,154.200,166.842,152.328,91.139,62.597,0.000,13.104,0.000,0.000,0.000,0.000,0.000
1845,627.840,176.940,166.531,152.116,91.024,62.417,0.000,13.088,0.000,0.000,0.000,0.000,0.000
1846,628.183,163.164,166.226,151.904,90.908,62.243,0.000,13.073,0.000,0.000,0.000,0.000,0.000
1847,628.526,176.940,165.926,151.692,90.792,62.074,0.000,13.058,0.000,0.000,0.000,0.000,0.000
1848,628.869,154.828,165.631,151.480,90.676,61.910,0.000,13.043,0.000,0.000,0.000,0.000,0.000
1849,629.212,148.386,165.341,151.267,90.560,61.751,0.000,13.028,0.000,0.000,0.000,0.000,0.000
1850,629.555,124.125,165.055,151.055,90.443,61.597,0.000,13.012,0.000,0.000,0.000,0.000,0.000
1851,629.898,148.940,164.774,150.843,90.327,61.447,0.000,12.997,0.000,0.000,0.000,0.000,0.000
1852,630.241,167.199,164.496,150.631,90.210,61.302,0.000,12.982,0.000,0.000,0.000,0.000,0.000
1853,630.584,162.274,164.223,150.419,90.094,61.160,0.000,12.967,0.000,0.000,0.000,0.000,0.000
1854,630.927,139.866,163.953,150.207,89.977,61.022,0.000,12.951,0.000,0.000,0.000,0.000,0.000
1855,631.270,147.792,163.686,149.995,89.861,60.887,0.000,12.936,0.000,0.000,0.000,0.000,0.000
1856,631.613,140.311,163.423,149.783,89.744,60.756,0.000,12.921,0.000,0.000,0.000,0.000,0.000
1857,631.956,160.347,163.163,149.571,89.628,60.627,0.000,12.905,0.000,0.000,0.000,0.000,0.000
1858,632.299,159.570,162.906,149.358,89.512,60.502,0.000,12.890,0.000,0.000,0.000,0.000,0.000
1859,632.642,141.903,162.652,149.146,89.395,60.380,0.000,12.875,0.000,0.000,0.000,0.000,0.000
1860,632.985,134.569,162.401,148.934,89.279,60.260,0.000,12.860,0.000,0.000,0.000,0.000,0.000
1861,633.328,133.977,162.153,148.722,89.163,60.143,0.000,12.845,0.000,0.000,0.000,0.000,0.000
1862,633.671,136.346,161.907,148.510,89.047,60.028,0.000,12.829,0.000,0.000,0.000,0.000,0.000
1863,634.014,160.865,161.663,148.298,88.932,59.915,0.000,12.814,0.000,0.000,0.000,0.000,0.000
1864,634.357,123.867,161.585,148.248,88.903,59.867,0.000,12.812,0.000,0.000,0.000,0.000,0.000
1865,634.700,152.125,161.509,148.199,88.875,59.821,0.000,12.811,0.000,0.000,0.000,0.000,0.000
1866,635.043,143.087,161.435,148.150,88.847,59.777,0.000,12.809,0.000,0.000,0.000,0.000,0.000
1867,635.385,127.644,161.363,148.100,88.819,59.735,0.000,12.807,0.000,0.000,0.000,0.000,0.000
1868,635.728,126.125,161.294,148.051,88.792,59.695,0.000,12.805,0.000,0.000,0.000,0.000,0.000
1869,636.071,144.236,161.226,148.001,88.765,59.656,0.000,12.803,0.000,0.000,0.000,0.000,0.000
1870,636.414,125.421,161.161,147.952,88.738,59.619,0.000,12.802,0.000,0.000,0.000,0.000,0.000
1871,636.757,129.347,161.097,147.902,88.712,59.583,0.000,12.800,0.000,0.000,0.000,0.000,0.000
1872,637.100,120.829,161.035,147.853,88.686,59.549,0.000,12.799,0.000,0.000,0.000,0.000,0.000
1873,637.443,123.753,160.975,147.804,88.660,59.516,0.000,12.797,0.000,0.000,0.000,0.000,0.000
1874,637.785,129.643,160.916,147.754,88.634,59.484,0.000,12.795,0.000,0.000,0.000,0.000,0.000
1875,638.128,114.828,160.858,147.705,88.608,59.454,0.000,12.794,0.000,0.000,0.000,0.000,0.000
1876,638.471,121.274,160.802,147.655,88.583,59.425,0.000,12.792,0.000,0.000,0.000,0.000,0.000
1877,638.814,109.458,160.747,147.606,88.558,59.396,0.000,12.791,0.000,0.000,0.000,0.000,0.000
1878,639.157,121.458,160.693,147.556,88.533,59.369,0.000,12.789,0.000,0.000,0.000,0.000,0.000
1879,639.499,133.717,160.640,147.507,88.508,59.342,0.000,12.788,0.000,0.000,0.000,0.000,0.000
1880,639.842,135.310,160.589,147.457,88.483,59.317,0.000,12.787,0.000,0.000,0.000,0.000,0.000
1881,640.185,124.679,160.538,147.408,88.459,59.292,0.000,12.785,0.000,0.000,0.000,0.000,0.000
1882,640.528,128.531,160.489,147.359,88.435,59.268,0.000,12.784,0.000,0.000,0.000,0.000,0.000
1883,640.870,116.754,160.440,147.309,88.411,59.245,0.000,12.783,0.000,0.000,0.000,0.000,0.000
1884,641.213,120.161,160.393,147.260,88.387,59.222,0.000,12.781,0.000,0.000,0.000,0.000,0.000
1885,641.556,110.050,160.346,147.210,88.364,59.200,0.000,12.780,0.000,0.000,0.000,0.000,0.000
1886,641.899,116.716,160.301,147.161,88.341,59.179,0.000,12.779,0.000,0.000,0.000,0.000,0.000
1887,642.241,139.643,160.257,147.111,88.318,59.158,0.000,12.778,0.000,0.000,0.000,0.000,0.000
1888,642.584,104.273,160.213,147.062,88.296,59.138,0.000,12.777,0.000,0.000,0.000,0.000,0.000
1889,642.927,113.680,160.171,147.013,88.274,59.119,0.000,12.776,0.000,0.000,0.000,0.000,0.000
1890,643.269,132.828,160.129,146.963,88.253,59.100,0.000,12.775,0.000,0.000,0.000,0.000,0.000
1891,643.612,118.975,160.089,146.914,88.232,59.081,0.000,12.774,0.000,0.000,0.000,0.000,0.000
1892,643.955,121.938,160.049,146.864,88.211,59.063,0.000,12.773,0.000,0.000,0.000,0.000,0.000
1893,644.297,115.420,160.011,146.815,88.191,59.045,0.000,12.772,0.000,0.000,0.000,0.000,0.000
1894,644.640,116.013,159.974,146.765,88.172,59.028,0.000,12.771,0.000,0.000,0.000,0.000,0.000
1895,644.983,122.643,159.937,146.716,88.153,59.011,0.000,12.771,0.000,0.000,0.000,0.000,0.000
1896,645.325,114.569,159.902,146.666,88.135,58.995,0.000,12.770,0.000,0.000,0.000,0.000,0.000
1897,645.668,128.643,159.868,146.617,88.117,58.979,0.000,12.770,0.000,0.000,0.000,0.000,0.000
1898,646.010,126.234,159.835,146.568,88.101,58.963,0.000,12.769,0.000,0.000,0.000,0.000,0.000
1899,646.353,126.051,159.803,146.518,88.084,58.948,0.000,12.769,0.000,0.000,0.000,0.000,0.000
1900,646.696,121.013,159.772,146.469,88.069,58.933,0.000,12.768,0.000,0.000,0.000,0.000,0.000
1901,647.038,117.568,159.743,146.419,88.054,58.918,0.000,12.768,0.000,0.000,0.000,0.000,0.000
1902,647.381,129.419,159.714,146.370,88.040,58.904,0.000,12.768,0.000,0.000,0.000,0.000,0.000
1903,647.723,117.938,159.685,146.320,88.026,58.890,0.000,12.768,0.000,0.000,0.000,0.000,0.000
1904,648.066,123.716,159.658,146.271,88.012,58.876,0.000,12.767,0.000,0.000,0.000,0.000,0.000
1905,648.408,135.568,159.631,146.222,87.999,58.862,0.000,12.767,0.000,0.000,0.000,0.000,0.000
1906,648.751,124.384,159.605,146.172,87.987,58.849,0.000,12.767,0.000,0.000,0.000,0.000,0.000
1907,649.093,137.013,159.580,146.123,87.975,58.835,0.000,12.768,0.000,0.000,0.000,0.000,0.000
1908,649.436,121.272,159.555,146.073,87.963,58.822,0.000,12.768,0.000,0.000,0.000,0.000,0.000
1909,649.778,125.160,159.532,146.024,87.953,58.809,0.000,12.768,0.000,0.000,0.000,0.000,0.000
1910,650.121,126.234,159.509,145.974,87.942,58.796,0.000,12.768,0.000,0.000,0.000,0.000,0.000
1911,650.463,109.198,159.487,145.925,87.933,58.784,0.000,12.769,0.000,0.000,0.000,0.000,0.000
1912,650.806,130.161,159.466,145.875,87.924,58.771,0.000,12.769,0.000,0.000,0.000,0.000,0.000
1913,651.148,92.346,159.446,145.826,87.916,58.759,0.000,12.769,0.000,0.000,0.000,0.000,0.000
1914,651.491,96.939,159.427,145.777,87.908,58.747,0.000,12.770,0.000,0.000,0.000,0.000,0.000
1915,651.833,107.938,159.409,145.727,87.901,58.735,0.000,12.771,0.000,0.000,0.000,0.000,0.000
1916,652.175,109.790,159.392,145.678,87.895,58.723,0.000,12.771,0.000,0.000,0.000,0.000,0.000
1917,652.518,113.457,159.376,145.628,87.890,58.711,0.000,12.772,0.000,0.000,0.000,0.000,0.000
1918,652.860,120.012,159.361,145.579,87.886,58.700,0.000,12.773,0.000,0.000,0.000,0.000,0.000
1919,653.203,114.531,159.347,145.529,87.882,58.688,0.000,12.774,0.000,0.000,0.000,0.000,0.000
1920,653.545,108.235,159.334,145.480,87.879,58.677,0.000,12.775,0.000,0.000,0.000,0.000,0.000
1921,653.887,120.050,159.322,145.431,87.878,58.666,0.000,12.777,0.000,0.000,0.000,0.000,0.000
1922,654.230,106.680,159.311,145.381,87.877,58.655,0.000,12.778,0.000,0.000,0.000,0.000,0.000
1923,654.572,119.754,159.301,145.332,87.876,58.644,0.000,12.780,0.000,0.000,0.000,0.000,0.000
1924,654.914,115.234,159.291,145.282,87.875,58.633,0.000,12.781,0.000,0.000,0.000,0.000,0.000
1925,655.257,125.345,159.281,145.233,87.873,58.622,0.000,12.783,0.000,0.000,0.000,0.000,0.000
1926,655.599,112.086,159.271,145.183,87.872,58.612,0.000,12.785,0.000,0.000,0.000,0.000,0.000
1927,655.941,114.236,159.261,145.134,87.871,58.602,0.000,12.787,0.000,0.000,0.000,0.000,0.000
1928,656.284,105.457,159.252,145.085,87.869,58.591,0.000,12.789,0.000,0.000,0.000,0.000,0.000
1929,656.626,110.087,159.242,145.035,87.867,58.581,0.000,12.791,0.000,0.000,0.000,0.000,0.000
1930,656.968,121.753,159.232,144.986,87.865,58.571,0.000,12.793,0.000,0.000,0.000,0.000,0.000
1931,657.310,133.086,159.223,144.936,87.863,58.562,0.000,12.796,0.000,0.000,0.000,0.000,0.000
1932,657.653,83.234,159.213,144.887,87.861,58.552,0.000,12.798,0.000,0.000,0.000,0.000,0.000
1933,657.995,123.605,159.203,144.837,87.858,58.542,0.000,12.801,0.000,0.000,0.000,0.000,0.000
1934,658.337,112.013,159.193,144.788,87.855,58.532,0.000,12.804,0.000,0.000,0.000,0.000,0.000
1935,658.679,127.975,159.183,144.738,87.852,58.523,0.000,12.807,0.000,0.000,0.000,0.000,0.000
1936,659.022,106.679,159.173,144.689,87.848,58.513,0.000,12.810,0.000,0.000,0.000,0.000,0.000
1937,659.364,128.345,159.163,144.640,87.844,58.504,0.000,12.813,0.000,0.000,0.000,0.000,0.000
1938,659.706,109.383,159.152,144.590,87.840,58.494,0.000,12.816,0.000,0.000,0.000,0.000,0.000
1939,660.048,91.160,159.141,144.541,87.835,58.485,0.000,12.819,0.000,0.000,0.000,0.000,0.000
1940,660.390,131.976,159.130,144.491,87.829,58.476,0.000,12.823,0.000,0.000,0.000,0.000,0.000
1941,660.733,126.271,159.119,144.442,87.824,58.467,0.000,12.827,0.000,0.000,0.000,0.000,0.000
1942,661.075,110.234,159.108,144.392,87.817,58.458,0.000,12.830,0.000,0.000,0.000,0.000,0.000
1943,661.417,106.827,159.096,144.343,87.810,58.449,0.000,12.834,0.000,0.000,0.000,0.000,0.000
1944,661.759,121.826,159.084,144.294,87.803,58.440,0.000,12.839,0.000,0.000,0.000,0.000,0.000
1945,662.101,137.568,159.071,144.244,87.795,58.431,0.000,12.843,0.000,0.000,0.000,0.000,0.000
1946,662.443,109.679,159.059,144.195,87.787,58.422,0.000,12.847,0.000,0.000,0.000,0.000,0.000
1947,662.785,115.420,159.045,144.145,87.778,58.414,0.000,12.852,0.000,0.000,0.000,0.000,0.000
1948,663.127,95.605,159.032,144.096,87.768,58.405,0.000,12.857,0.000,0.000,0.000,0.000,0.000
1949,663.470,117.901,159.018,144.046,87.758,58.397,0.000,12.862,0.000,0.000,0.000,0.000,0.000
1950,663.812,131.641,159.004,143.997,87.747,58.389,0.000,12.867,0.000,0.000,0.000,0.000,0.000
1951,664.154,107.123,158.990,143.947,87.735,58.380,0.000,12.872,0.000,0.000,0.000,0.000,0.000
1952,664.496,111.308,158.975,143.898,87.723,58.372,0.000,12.878,0.000,0.000,0.000,0.000,0.000
1953,664.838,91.568,158.960,143.849,87.710,58.364,0.000,12.883,0.000,0.000,0.000,0.000,0.000
1954,665.180,115.605,158.944,143.799,87.697,58.356,0.000,12.889,0.000,0.000,0.000,0.000,0.000
1955,665.522,98.568,158.928,143.750,87.682,58.349,0.000,12.895,0.000,0.000,0.000,0.000,0.000
1956,665.864,113.122,158.912,143.700,87.667,58.341,0.000,12.901,0.000,0.000,0.000,0.000,0.000
1957,666.206,118.050,158.895,143.651,87.652,58.334,0.000,12.908,0.000,0.000,0.000,0.000,0.000
1958,666.548,114.530,158.878,143.601,87.635,58.326,0.000,12.915,0.000,0.000,0.000,0.000,0.000
1959,666.890,111.013,158.860,143.552,87.617,58.319,0.000,12.921,0.000,0.000,0.000,0.000,0.000
1960,667.232,114.567,158.841,143.503,87.599,58.312,0.000,12.928,0.000,0.000,0.000,0.000,0.000
1961,667.574,119.160,158.821,143.453,87.579,58.304,0.000,12.936,0.000,0.000,0.000,0.000,0.000
1962,667.916,113.456,158.800,143.404,87.558,58.297,0.000,12.943,0.000,0.000,0.000,0.000,0.000
1963,668.258,118.308,158.779,143.354,87.535,58.290,0.000,12.951,0.000,0.000,0.000,0.000,0.000
1964,668.600,126.530,158.756,143.305,87.512,58.283,0.000,12.959,0.000,0.000,0.000,0.000,0.000
1965,668.942,103.643,158.733,143.255,87.488,58.276,0.000,12.967,0.000,0.000,0.000,0.000,0.000
1966,669.283,114.641,158.709,143.206,87.462,58.270,0.000,12.975,0.000,0.000,0.000,0.000,0.000
1967,669.625,110.012,158.683,143.157,87.435,58.263,0.000,12.984,0.000,0.000,0.000,0.000,0.000
1968,669.967,128.420,158.657,143.107,87.407,58.256,0.000,12.993,0.000,0.000,0.000,0.000,0.000
1969,670.309,117.235,158.630,143.058,87.377,58.249,0.000,13.002,0.000,0.000,0.000,0.000,0.000
1970,670.651,112.198,158.602,143.008,87.346,58.243,0.000,13.011,0.000,0.000,0.000,0.000,0.000
1971,670.993,130.640,158.573,142.959,87.315,58.236,0.000,13.021,0.000,0.000,0.000,0.000,0.000
1972,671.335,107.345,158.544,142.909,87.281,58.230,0.000,13.030,0.000,0.000,0.000,0.000,0.000
1973,671.677,91.679,158.513,142.860,87.247,58.223,0.000,13.040,0.000,0.000,0.000,0.000,0.000
1974,672.018,137.679,158.481,142.810,87.211,58.217,0.000,13.051,0.000,0.000,0.000,0.000,0.000
1975,672.360,122.863,158.449,142.761,87.175,58.211,0.000,13.061,0.000,0.000,0.000,0.000,0.000
1976,672.702,111.086,158.416,142.712,87.136,58.205,0.000,13.072,0.000,0.000,0.000,0.000,0.000
1977,673.044,142.752,158.382,142.662,87.097,58.199,0.000,13.083,0.000,0.000,0.000,0.000,0.000
1978,673.386,117.790,158.347,142.613,87.057,58.193,0.000,13.095,0.000,0.000,0.000,0.000,0.000
1979,673.727,104.901,158.311,142.563,87.015,58.187,0.000,13.107,0.000,0.000,0.000,0.000,0.000
1980,674.069,117.531,158.274,142.514,86.972,58.181,0.000,13.119,0.000,0.000,0.000,0.000,0.000
1981,674.411,104.679,158.237,142.464,86.928,58.176,0.000,13.131,0.000,0.000,0.000,0.000,0.000
1982,674.753,117.790,158.199,142.415,86.883,58.170,0.000,13.144,0.000,0.000,0.000,0.000,0.000
1983,675.094,132.789,158.161,142.366,86.837,58.164,0.000,13.157,0.000,0.000,0.000,0.000,0.000
1984,675.436,105.124,158.121,142.316,86.790,58.159,0.000,13.170,0.000,0.000,0.000,0.000,0.000
1985,675.778,112.012,158.081,142.267,86.742,58.154,0.000,13.184,0.000,0.000,0.000,0.000,0.000
1986,676.119,120.864,158.041,142.217,86.692,58.148,0.000,13.198,0.000,0.000,0.000,0.000,0.000
1987,676.461,115.938,157.999,142.168,86.642,58.143,0.000,13.212,0.000,0.000,0.000,0.000,0.000
1988,676.803,140.196,157.957,142.118,86.590,58.138,0.000,13.227,0.000,0.000,0.000,0.000,0.000
1989,677.145,136.974,157.913,142.069,86.536,58.133,0.000,13.242,0.000,0.000,0.000,0.000,0.000
1990,677.486,122.419,157.869,142.019,86.481,58.128,0.000,13.257,0.000,0.000,0.000,0.000,0.000
1991,677.828,119.789,157.823,141.970,86.425,58.123,0.000,13.273,0.000,0.000,0.000,0.000,0.000
1992,678.170,112.123,157.777,141.921,86.368,58.118,0.000,13.289,0.000,0.000,0.000,0.000,0.000
1993,678.511,104.716,157.730,141.871,86.310,58.113,0.000,13.305,0.000,0.000,0.000,0.000,0.000
1994,678.853,129.196,157.683,141.822,86.250,58.108,0.000,13.322,0.000,0.000,0.000,0.000,0.000
1995,679.194,119.456,157.634,141.772,86.189,58.104,0.000,13.340,0.000,0.000,0.000,0.000,0.000
1996,679.536,124.197,157.585,141.723,86.127,58.099,0.000,13.357,0.000,0.000,0.000,0.000,0.000
1997,679.878,109.308,157.535,141.673,86.064,58.094,0.000,13.375,0.000,0.000,0.000,0.000,0.000
1998,680.219,114.604,157.484,141.624,86.000,58.089,0.000,13.394,0.000,0.000,0.000,0.000,0.000
1999,680.561,126.974,157.433,141.575,85.934,58.085,0.000,13.412,0.000,0.000,0.000,0.000,0.000
2000,680.902,123.049,157.382,141.525,85.868,58.080,0.000,13.432,0.000,0.000,0.000,0.000,0.000
2001,681.244,122.122,157.329,141.476,85.800,58.075,0.000,13.452,0.000,0.000,0.000,0.000,0.000
2002,681.585,142.604,157.276,141.426,85.732,58.071,0.000,13.472,0.000,0.000,0.000,0.000,0.000
2003,681.927,118.678,157.223,141.377,85.662,58.066,0.000,13.492,0.000,0.000,0.000,0.000,0.000
2004,682.268,133.233,157.170,141.327,85.592,58.062,0.000,13.514,0.000,0.000,0.000,0.000,0.000
2005,682.610,131.308,157.116,141.278,85.521,58.058,0.000,13.535,0.000,0.000,0.000,0.000,0.000
2006,682.951,109.974,157.062,141.228,85.449,58.053,0.000,13.557,0.000,0.000,0.000,0.000,0.000
2007,683.293,122.678,157.007,141.179,85.376,58.049,0.000,13.580,0.000,0.000,0.000,0.000,0.000
2008,683.634,112.974,156.953,141.130,85.303,58.045,0.000,13.603,0.000,0.000,0.000,0.000,0.000
2009,683.976,110.234,156.898,141.080,85.229,58.040,0.000,13.627,0.000,0.000,0.000,0.000,0.000
2010,684.317,114.049,156.844,141.031,85.154,58.036,0.000,13.651,0.000,0.000,0.000,0.000,0.000
2011,684.659,113.604,156.789,140.981,85.079,58.032,0.000,13.676,0.000,0.000,0.000,0.000,0.000
2012,685.000,113.196,156.735,140.932,85.004,58.028,0.000,13.701,0.000,0.000,0.000,0.000,0.000
2013,685.342,126.714,156.681,140.882,84.927,58.024,0.000,13.727,0.000,0.000,0.000,0.000,0.000
2014,685.683,123.937,156.627,140.833,84.851,58.020,0.000,13.753,0.000,0.000,0.000,0.000,0.000
2015,686.024,95.233,156.573,140.784,84.773,58.017,0.000,13.781,0.000,0.000,0.000,0.000,0.000
2016,686.366,126.197,156.519,140.734,84.696,58.013,0.000,13.808,0.000,0.000,0.000,0.000,0.000
2017,686.707,121.381,156.465,140.685,84.617,58.009,0.000,13.837,0.000,0.000,0.000,0.000,0.000
2018,687.049,116.863,156.411,140.635,84.538,58.005,0.000,13.866,0.000,0.000,0.000,0.000,0.000
2019,687.390,101.752,156.357,140.586,84.459,58.002,0.000,13.895,0.000,0.000,0.000,0.000,0.000
2020,687.731,124.271,156.304,140.536,84.379,57.998,0.000,13.925,0.000,0.000,0.000,0.000,0.000
2021,688.073,118.937,156.251,140.487,84.298,57.994,0.000,13.956,0.000,0.000,0.000,0.000,0.000
2022,688.414,113.826,156.198,140.438,84.217,57.991,0.000,13.988,0.000,0.000,0.000,0.000,0.000
2023,688.755,106.308,156.146,140.388,84.136,57.987,0.000,14.020,0.000,0.000,0.000,0.000,0.000
2024,689.096,129.345,156.094,140.339,84.055,57.983,0.000,14.053,0.000,0.000,0.000,0.000,0.000
2025,689.438,105.789,156.042,140.289,83.973,57.980,0.000,14.087,0.000,0.000,0.000,0.000,0.000
2026,689.779,132.492,155.991,140.240,83.891,57.976,0.000,14.122,0.000,0.000,0.000,0.000,0.000
2027,690.120,105.085,155.941,140.190,83.809,57.973,0.000,14.157,0.000,0.000,0.000,0.000,0.000
2028,690.462,139.752,155.892,140.141,83.727,57.969,0.000,14.193,0.000,0.000,0.000,0.000,0.000
2029,690.803,127.641,155.843,140.091,83.645,57.966,0.000,14.230,0.000,0.000,0.000,0.000,0.000
2030,691.144,120.900,155.795,140.042,83.562,57.962,0.000,14.268,0.000,0.000,0.000,0.000,0.000
2031,691.485,130.049,155.748,139.993,83.480,57.959,0.000,14.307,0.000,0.000,0.000,0.000,0.000
2032,691.827,135.974,155.702,139.943,83.398,57.956,0.000,14.346,0.000,0.000,0.000,0.000,0.000
2033,692.168,138.011,155.656,139.894,83.316,57.952,0.000,14.387,0.000,0.000,0.000,0.000,0.000
2034,692.509,118.048,155.612,139.844,83.234,57.949,0.000,14.428,0.000,0.000,0.000,0.000,0.000
2035,692.850,146.307,155.570,139.795,83.152,57.946,0.000,14.470,0.000,0.000,0.000,0.000,0.000
2036,693.191,124.085,155.528,139.745,83.070,57.943,0.000,14.513,0.000,0.000,0.000,0.000,0.000
2037,693.532,146.974,155.488,139.696,82.989,57.940,0.000,14.557,0.000,0.000,0.000,0.000,0.000
2038,693.874,131.899,155.449,139.647,82.908,57.937,0.000,14.603,0.000,0.000,0.000,0.000,0.000
2039,694.215,113.751,155.411,139.597,82.827,57.934,0.000,14.649,0.000,0.000,0.000,0.000,0.000
2040,694.556,138.753,155.376,139.548,82.747,57.931,0.000,14.696,0.000,0.000,0.000,0.000,0.000
2041,694.897,111.455,155.341,139.498,82.667,57.928,0.000,14.744,0.000,0.000,0.000,0.000,0.000
2042,695.238,119.197,155.309,139.449,82.588,57.926,0.000,14.794,0.000,0.000,0.000,0.000,0.000
2043,695.579,123.789,155.278,139.399,82.509,57.923,0.000,14.844,0.000,0.000,0.000,0.000,0.000
2044,695.920,125.382,155.249,139.350,82.430,57.921,0.000,14.896,0.000,0.000,0.000,0.000,0.000
2045,696.261,135.566,155.221,139.300,82.353,57.918,0.000,14.948,0.000,0.000,0.000,0.000,0.000
2046,696.602,127.049,155.196,139.251,82.275,57.916,0.000,15.002,0.000,0.000,0.000,0.000,0.000
2047,696.944,138.790,155.172,139.202,82.198,57.914,0.000,15.058,0.000,0.000,0.000,0.000,0.000
2048,697.285,138.382,155.149,139.152,82.121,57.912,0.000,15.114,0.000,0.000,0.000,0.000,0.000
2049,697.626,138.974,155.129,139.103,82.045,57.910,0.000,15.172,0.000,0.000,0.000,0.000,0.000
2050,697.967,109.159,155.110,139.053,81.970,57.908,0.000,15.231,0.000,0.000,0.000,0.000,0.000
2051,698.308,137.197,155.094,139.004,81.895,57.906,0.000,15.291,0.000,0.000,0.000,0.000,0.000
2052,698.649,150.604,155.079,138.954,81.821,57.904,0.000,15.353,0.000,0.000,0.000,0.000,0.000
2053,698.990,116.382,155.067,138.905,81.747,57.902,0.000,15.416,0.000,0.000,0.000,0.000,0.000
2054,699.331,140.418,155.057,138.856,81.674,57.900,0.000,15.480,0.000,0.000,0.000,0.000,0.000
2055,699.672,129.122,155.049,138.806,81.602,57.899,0.000,15.546,0.000,0.000,0.000,0.000,0.000
2056,700.013,142.492,155.043,138.757,81.530,57.897,0.000,15.613,0.000,0.000,0.000,0.000,0.000
2057,700.354,124.679,155.040,138.707,81.459,57.896,0.000,15.682,0.000,0.000,0.000,0.000,0.000
2058,700.694,154.159,155.039,138.658,81.389,57.895,0.000,15.753,0.000,0.000,0.000,0.000,0.000
2059,701.035,155.973,155.041,138.608,81.320,57.894,0.000,15.825,0.000,0.000,0.000,0.000,0.000
2060,701.376,127.234,155.045,138.559,81.252,57.893,0.000,15.899,0.000,0.000,0.000,0.000,0.000
