ch,keV,net,fit,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,DE-2615,SE-2615,Xray-W,SE-1631,Backscatter,Xray-NaI,Esc-NaI,continuum
1185,433.108,11421.899,11421.899,11718.880,11449.909,4761.268,4565.773,0.000,743.076,0.000,0.000,10.296,0.000,785.161,624.277,0.000,228.905,0.000,0.000,0.000,0.000
1186,433.481,11538.221,11538.221,11710.401,11439.039,4757.583,4561.953,0.000,743.482,0.000,0.000,10.287,0.000,784.504,623.755,0.000,228.714,0.000,0.000,0.000,0.000
1187,433.854,11580.780,11580.780,11702.367,11428.168,4754.324,4558.136,0.000,743.902,0.000,0.000,10.279,0.000,783.847,623.233,0.000,228.522,0.000,0.000,0.000,0.000
1188,434.227,11350.600,11350.600,11694.779,11417.298,4751.493,4554.324,0.000,744.334,0.000,0.000,10.270,0.000,783.192,622.711,0.000,228.331,0.000,0.000,0.000,0.000
1189,434.601,11401.086,11401.086,11687.639,11406.427,4749.092,4550.517,0.000,744.778,0.000,0.000,10.262,0.000,782.537,622.191,0.000,228.140,0.000,0.000,0.000,0.000
1190,434.974,11520.843,11520.843,11680.949,11395.557,4747.121,4546.717,0.000,745.232,0.000,0.000,10.253,0.000,781.883,621.671,0.000,227.950,0.000,0.000,0.000,0.000
1191,435.347,11432.588,11432.588,11674.710,11384.686,4745.582,4542.924,0.000,745.695,0.000,0.000,10.244,0.000,781.230,621.152,0.000,227.759,0.000,0.000,0.000,0.000
1192,435.721,11607.699,11607.699,11668.921,11373.816,4744.473,4539.139,0.000,746.167,0.000,0.000,10.236,0.000,780.579,620.634,0.000,227.569,0.000,0.000,0.000,0.000
1193,436.094,11340.704,11340.704,11663.580,11362.945,4743.795,4535.363,0.000,746.645,0.000,0.000,10.227,0.000,779.930,620.118,0.000,227.380,0.000,0.000,0.000,0.000
1194,436.467,11520.008,11520.008,11658.687,11352.075,4743.545,4531.596,0.000,747.129,0.000,0.000,10.219,0.000,779.281,619.602,0.000,227.191,0.000,0.000,0.000,0.000
1195,436.841,11651.657,11651.657,11654.239,11341.205,4743.721,4527.841,0.000,747.618,0.000,0.000,10.210,0.000,778.635,619.089,0.000,227.003,0.000,0.000,0.000,0.000
1196,437.214,11577.633,11577.633,11650.233,11330.334,4744.320,4524.096,0.000,748.110,0.000,0.000,10.202,0.000,777.991,618.576,0.000,226.815,0.000,0.000,0.000,0.000
1197,437.587,11436.699,11436.699,11646.664,11319.464,4745.339,4520.365,0.000,748.603,0.000,0.000,10.193,0.000,777.349,618.066,0.000,226.628,0.000,0.000,0.000,0.000
1198,437.961,11378.694,11378.694,11643.529,11308.593,4746.773,4516.646,0.000,749.096,0.000,0.000,10.185,0.000,776.708,617.557,0.000,226.441,0.000,0.000,0.000,0.000
1199,438.334,11501.476,11501.476,11640.821,11297.723,4748.617,4512.941,0.000,749.588,0.000,0.000,10.177,0.000,776.071,617.050,0.000,226.255,0.000,0.000,0.000,0.000
1200,438.707,11540.444,11540.444,11638.536,11286.852,4750.866,4509.251,0.000,750.078,0.000,0.000,10.168,0.000,775.435,616.544,0.000,226.070,0.000,0.000,0.000,0.000
1201,439.081,11660.643,11660.643,11636.665,11275.982,4753.514,4505.577,0.000,750.562,0.000,0.000,10.160,0.000,774.803,616.041,0.000,225.885,0.000,0.000,0.000,0.000
1202,439.454,11406.448,11406.448,11635.201,11265.111,4756.552,4501.919,0.000,751.041,0.000,0.000,10.152,0.000,774.173,615.541,0.000,225.702,0.000,0.000,0.000,0.000
1203,439.827,11346.385,11346.385,11634.136,11254.241,4759.974,4498.278,0.000,751.511,0.000,0.000,10.144,0.000,773.546,615.042,0.000,225.519,0.000,0.000,0.000,0.000
1204,440.201,11481.093,11481.093,11633.461,11243.371,4763.771,4494.655,0.000,751.972,0.000,0.000,10.135,0.000,772.922,614.546,0.000,225.337,0.000,0.000,0.000,0.000
1205,440.574,11515.709,11515.709,11633.165,11232.500,4767.934,4491.051,0.000,752.422,0.000,0.000,10.127,0.000,772.301,614.052,0.000,225.156,0.000,0.000,0.000,0.000
1206,440.947,11606.552,11606.552,11633.239,11221.630,4772.453,4487.467,0.000,752.859,0.000,0.000,10.119,0.000,771.683,613.561,0.000,224.976,0.000,0.000,0.000,0.000
1207,441.321,11660.780,11660.780,11658.749,11235.837,4787.193,4493.932,0.000,754.832,0.000,0.000,10.134,0.000,772.793,614.444,0.000,225.300,0.000,0.000,0.000,0.000
1208,441.694,11740.736,11740.736,11684.605,11250.045,4802.263,4500.423,0.000,756.787,0.000,0.000,10.148,0.000,773.908,615.330,0.000,225.625,0.000,0.000,0.000,0.000
1209,442.068,11461.037,11461.037,11710.794,11264.252,4817.651,4506.938,0.000,758.723,0.000,0.000,10.163,0.000,775.027,616.219,0.000,225.951,0.000,0.000,0.000,0.000
1210,442.441,11817.716,11817.716,11737.303,11278.460,4833.345,4513.480,0.000,760.639,0.000,0.000,10.178,0.000,776.150,617.112,0.000,226.278,0.000,0.000,0.000,0.000
1211,442.814,11893.976,11893.976,11764.117,11292.668,4849.330,4520.048,0.000,762.532,0.000,0.000,10.193,0.000,777.277,618.009,0.000,226.607,0.000,0.000,0.000,0.000
1212,443.188,11925.008,11925.008,11791.222,11306.875,4865.593,4526.644,0.000,764.400,0.000,0.000,10.207,0.000,778.409,618.909,0.000,226.937,0.000,0.000,0.000,0.000
1213,443.561,11718.564,11718.564,11818.601,11321.083,4882.118,4533.269,0.000,766.243,0.000,0.000,10.222,0.000,779.546,619.812,0.000,227.268,0.000,0.000,0.000,0.000
1214,443.934,11799.794,11799.794,11846.240,11335.290,4898.891,4539.923,0.000,768.057,0.000,0.000,10.237,0.000,780.687,620.720,0.000,227.601,0.000,0.000,0.000,0.000
1215,444.308,11803.836,11803.836,11874.120,11349.498,4915.895,4546.608,0.000,769.842,0.000,0.000,10.252,0.000,781.833,621.631,0.000,227.935,0.000,0.000,0.000,0.000
1216,444.681,11848.888,11848.888,11902.224,11363.706,4933.113,4553.323,0.000,771.596,0.000,0.000,10.267,0.000,782.985,622.547,0.000,228.271,0.000,0.000,0.000,0.000
1217,445.055,11790.040,11790.040,11930.535,11377.913,4950.527,4560.070,0.000,773.317,0.000,0.000,10.283,0.000,784.141,623.466,0.000,228.608,0.000,0.000,0.000,0.000
1218,445.428,12139.268,12139.268,11959.033,11392.121,4968.121,4566.849,0.000,775.003,0.000,0.000,10.298,0.000,785.303,624.390,0.000,228.947,0.000,0.000,0.000,0.000
1219,445.801,11976.035,11976.035,11987.699,11406.328,4985.875,4573.661,0.000,776.653,0.000,0.000,10.313,0.000,786.469,625.317,0.000,229.287,0.000,0.000,0.000,0.000
1220,446.175,12001.351,12001.351,12016.513,11420.536,5003.769,4580.506,0.000,778.265,0.000,0.000,10.328,0.000,787.642,626.249,0.000,229.628,0.000,0.000,0.000,0.000
1221,446.548,12145.407,12145.407,12045.455,11434.744,5021.785,4587.387,0.000,779.838,0.000,0.000,10.344,0.000,788.819,627.186,0.000,229.972,0.000,0.000,0.000,0.000
1222,446.922,12005.292,12005.292,12074.504,11448.951,5039.902,4594.302,0.000,781.371,0.000,0.000,10.359,0.000,790.002,628.126,0.000,230.317,0.000,0.000,0.000,0.000
1223,447.295,12221.665,12221.665,12103.638,11463.159,5058.099,4601.252,0.000,782.862,0.000,0.000,10.375,0.000,791.191,629.071,0.000,230.663,0.000,0.000,0.000,0.000
1224,447.669,12191.356,12191.356,12132.837,11477.366,5076.355,4608.239,0.000,784.310,0.000,0.000,10.391,0.000,792.385,630.021,0.000,231.011,0.000,0.000,0.000,0.000
1225,448.042,12245.268,12245.268,12162.077,11491.574,5094.649,4615.263,0.000,785.713,0.000,0.000,10.406,0.000,793.585,630.975,0.000,231.361,0.000,0.000,0.000,0.000
1226,448.415,12012.870,12012.870,12191.337,11505.782,5112.958,4622.324,0.000,787.071,0.000,0.000,10.422,0.000,794.791,631.934,0.000,231.713,0.000,0.000,0.000,0.000
1227,448.789,12192.187,12192.187,12220.593,11519.989,5131.260,4629.423,0.000,788.382,0.000,0.000,10.438,0.000,796.002,632.897,0.000,232.066,0.000,0.000,0.000,0.000
1228,449.162,12471.753,12471.753,12249.823,11534.197,5149.532,4636.561,0.000,789.646,0.000,0.000,10.454,0.000,797.219,633.864,0.000,232.421,0.000,0.000,0.000,0.000
1229,449.536,12677.677,12677.677,12279.003,11548.404,5167.752,4643.738,0.000,790.862,0.000,0.000,10.470,0.000,798.442,634.837,0.000,232.777,0.000,0.000,0.000,0.000
1230,449.909,12494.442,12494.442,12308.111,11562.612,5185.896,4650.954,0.000,792.028,0.000,0.000,10.486,0.000,799.670,635.814,0.000,233.135,0.000,0.000,0.000,0.000
1231,450.283,12528.751,12528.751,12337.121,11576.820,5203.942,4658.211,0.000,793.145,0.000,0.000,10.502,0.000,800.905,636.795,0.000,233.495,0.000,0.000,0.000,0.000
1232,450.656,12535.182,12535.182,12366.012,11591.027,5221.865,4665.508,0.000,794.211,0.000,0.000,10.519,0.000,802.145,637.781,0.000,233.857,0.000,0.000,0.000,0.000
1233,451.030,12577.812,12577.812,12394.759,11605.235,5239.641,4672.846,0.000,795.227,0.000,0.000,10.535,0.000,803.391,638.772,0.000,234.220,0.000,0.000,0.000,0.000
1234,451.403,12640.199,12640.199,12423.338,11619.442,5257.248,4680.226,0.000,796.191,0.000,0.000,10.551,0.000,804.643,639.767,0.000,234.585,0.000,0.000,0.000,0.000
1235,451.777,12665.373,12665.373,12451.727,11633.650,5274.662,4687.647,0.000,797.104,0.000,0.000,10.568,0.000,805.900,640.767,0.000,234.952,0.000,0.000,0.000,0.000
1236,452.150,12804.022,12804.022,12479.902,11647.858,5291.859,4695.111,0.000,797.964,0.000,0.000,10.584,0.000,807.164,641.771,0.000,235.320,0.000,0.000,0.000,0.000
1237,452.523,12680.295,12680.295,12507.839,11662.065,5308.816,4702.619,0.000,798.774,0.000,0.000,10.601,0.000,808.432,642.780,0.000,235.690,0.000,0.000,0.000,0.000
1238,452.897,12833.976,12833.976,12535.516,11676.273,5325.509,4710.169,0.000,799.531,0.000,0.000,10.618,0.000,809.707,643.793,0.000,236.061,0.000,0.000,0.000,0.000
1239,453.270,12777.993,12777.993,12562.911,11690.480,5341.916,4717.764,0.000,800.236,0.000,0.000,10.635,0.000,810.987,644.811,0.000,236.434,0.000,0.000,0.000,0.000
1240,453.644,12675.746,12675.746,12590.001,11704.688,5358.014,4725.403,0.000,800.891,0.000,0.000,10.651,0.000,812.272,645.833,0.000,236.809,0.000,0.000,0.000,0.000
1241,454.017,13018.672,13018.672,12616.765,11718.896,5373.780,4733.087,0.000,801.494,0.000,0.000,10.668,0.000,813.563,646.859,0.000,237.186,0.000,0.000,0.000,0.000
1242,454.391,12847.606,12847.606,12643.181,11733.103,5389.193,4740.816,0.000,802.046,0.000,0.000,10.685,0.000,814.859,647.890,0.000,237.563,0.000,0.000,0.000,0.000
1243,454.764,12956.751,12956.751,12669.229,11747.311,5404.231,4748.591,0.000,802.549,0.000,0.000,10.702,0.000,816.160,648.925,0.000,237.943,0.000,0.000,0.000,0.000
1244,455.138,12780.155,12780.155,12694.889,11761.518,5418.872,4756.413,0.000,803.001,0.000,0.000,10.720,0.000,817.467,649.963,0.000,238.324,0.000,0.000,0.000,0.000
1245,455.511,12963.920,12963.920,12720.140,11775.726,5433.097,4764.281,0.000,803.406,0.000,0.000,10.737,0.000,818.778,651.006,0.000,238.706,0.000,0.000,0.000,0.000
1246,455.885,13088.768,13088.768,12744.966,11789.934,5446.886,4772.198,0.000,803.762,0.000,0.000,10.754,0.000,820.094,652.053,0.000,239.090,0.000,0.000,0.000,0.000
1247,456.258,13277.153,13277.153,12769.347,11804.141,5460.220,4780.162,0.000,804.071,0.000,0.000,10.771,0.000,821.416,653.103,0.000,239.475,0.000,0.000,0.000,0.000
1248,456.632,13263.310,13263.310,12793.268,11818.349,5473.079,4788.176,0.000,804.334,0.000,0.000,10.789,0.000,822.741,654.157,0.000,239.861,0.000,0.000,0.000,0.000
1249,457.005,13250.376,13250.376,12816.711,11832.556,5485.447,4796.239,0.000,804.553,0.000,0.000,10.806,0.000,824.071,655.215,0.000,240.249,0.000,0.000,0.000,0.000
1250,457.379,13197.082,13197.082,12839.661,11846.764,5497.307,4804.353,0.000,804.728,0.000,0.000,10.824,0.000,825.406,656.276,0.000,240.638,0.000,0.000,0.000,0.000
1251,457.753,13576.922,13576.922,12862.105,11860.972,5508.643,4812.518,0.000,804.860,0.000,0.000,10.841,0.000,826.745,657.340,0.000,241.028,0.000,0.000,0.000,0.000
1252,458.126,13240.545,13240.545,12884.030,11875.179,5519.440,4820.734,0.000,804.951,0.000,0.000,10.859,0.000,828.087,658.408,0.000,241.420,0.000,0.000,0.000,0.000
1253,458.500,13243.403,13243.403,12905.423,11889.387,5529.683,4829.004,0.000,805.003,0.000,0.000,10.876,0.000,829.434,659.478,0.000,241.813,0.000,0.000,0.000,0.000
1254,458.873,13498.413,13498.413,12926.273,11903.594,5539.361,4837.328,0.000,805.017,0.000,0.000,10.894,0.000,830.784,660.552,0.000,242.206,0.000,0.000,0.000,0.000
1255,459.247,13588.623,13588.623,12946.572,11917.802,5548.460,4845.707,0.000,804.994,0.000,0.000,10.912,0.000,832.138,661.628,0.000,242.601,0.000,0.000,0.000,0.000
1256,459.620,13644.702,13644.702,12966.310,11932.010,5556.971,4854.142,0.000,804.936,0.000,0.000,10.930,0.000,833.495,662.707,0.000,242.997,0.000,0.000,0.000,0.000
1257,459.994,13454.619,13454.619,12985.480,11946.217,5564.883,4862.635,0.000,804.844,0.000,0.000,10.948,0.000,834.856,663.789,0.000,243.393,0.000,0.000,0.000,0.000
1258,460.367,13659.469,13659.469,13004.076,11960.425,5572.188,4871.187,0.000,804.722,0.000,0.000,10.965,0.000,836.219,664.873,0.000,243.791,0.000,0.000,0.000,0.000
1259,460.741,13512.231,13512.231,13022.094,11974.632,5578.879,4879.798,0.000,804.569,0.000,0.000,10.983,0.000,837.585,665.959,0.000,244.189,0.000,0.000,0.000,0.000
1260,461.114,13443.249,13443.249,13039.530,11988.840,5584.949,4888.472,0.000,804.388,0.000,0.000,11.001,0.000,838.954,667.047,0.000,244.588,0.000,0.000,0.000,0.000
1261,461.488,13590.846,13590.846,13056.383,12003.048,5590.393,4897.208,0.000,804.181,0.000,0.000,11.019,0.000,840.325,668.137,0.000,244.988,0.000,0.000,0.000,0.000
1262,461.862,13660.221,13660.221,13072.653,12017.255,5595.208,4906.010,0.000,803.949,0.000,0.000,11.037,0.000,841.698,669.229,0.000,245.388,0.000,0.000,0.000,0.000
1263,462.235,13744.631,13744.631,13088.339,12031.463,5599.392,4914.879,0.000,803.695,0.000,0.000,11.055,0.000,843.073,670.323,0.000,245.789,0.000,0.000,0.000,0.000
1264,462.609,13662.231,13662.231,13103.444,12045.670,5602.942,4923.816,0.000,803.421,0.000,0.000,11.073,0.000,844.450,671.417,0.000,246.190,0.000,0.000,0.000,0.000
1265,462.982,13533.320,13533.320,13117.972,12059.878,5605.860,4932.825,0.000,803.128,0.000,0.000,11.091,0.000,845.828,672.514,0.000,246.592,0.000,0.000,0.000,0.000
1266,463.356,13751.109,13751.109,13131.928,12074.086,5608.147,4941.907,0.000,802.817,0.000,0.000,11.110,0.000,847.208,673.611,0.000,246.994,0.000,0.000,0.000,0.000
1267,463.730,13828.241,13828.241,13145.318,12088.293,5609.805,4951.065,0.000,802.492,0.000,0.000,11.128,0.000,848.589,674.709,0.000,247.397,0.000,0.000,0.000,0.000
1268,464.103,13715.097,13715.097,13158.151,12102.501,5610.838,4960.300,0.000,802.154,0.000,0.000,11.146,0.000,849.971,675.808,0.000,247.800,0.000,0.000,0.000,0.000
1269,464.477,13773.224,13773.224,13170.436,12116.708,5611.251,4969.617,0.000,801.805,0.000,0.000,11.164,0.000,851.354,676.907,0.000,248.203,0.000,0.000,0.000,0.000
1270,464.850,13765.856,13765.856,13182.183,12130.916,5611.051,4979.018,0.000,801.447,0.000,0.000,11.182,0.000,852.737,678.007,0.000,248.606,0.000,0.000,0.000,0.000
1271,465.224,13905.641,13905.641,13193.404,12145.124,5610.245,4988.505,0.000,801.082,0.000,0.000,11.200,0.000,854.121,679.107,0.000,249.010,0.000,0.000,0.000,0.000
1272,465.598,13783.616,13783.616,13204.114,12159.331,5608.843,4998.082,0.000,800.711,0.000,0.000,11.218,0.000,855.505,680.207,0.000,249.413,0.000,0.000,0.000,0.000
1273,465.971,13551.467,13551.467,13214.326,12173.539,5606.853,5007.752,0.000,800.336,0.000,0.000,11.237,0.000,856.889,681.307,0.000,249.817,0.000,0.000,0.000,0.000
1274,466.345,13648.952,13648.952,13224.056,12187.746,5604.288,5017.519,0.000,799.960,0.000,0.000,11.255,0.000,858.272,682.408,0.000,250.220,0.000,0.000,0.000,0.000
1275,466.718,13780.178,13780.178,13233.323,12201.954,5601.159,5027.386,0.000,799.583,0.000,0.000,11.273,0.000,859.655,683.507,0.000,250.623,0.000,0.000,0.000,0.000
1276,467.092,13733.254,13733.254,13242.144,12216.162,5597.481,5037.357,0.000,799.208,0.000,0.000,11.291,0.000,861.038,684.606,0.000,251.026,0.000,0.000,0.000,0.000
1277,467.466,13616.116,13616.116,13250.539,12230.369,5593.266,5047.437,0.000,798.837,0.000,0.000,11.309,0.000,862.420,685.705,0.000,251.429,0.000,0.000,0.000,0.000
1278,467.839,13589.403,13589.403,13258.529,12244.577,5588.531,5057.629,0.000,798.471,0.000,0.000,11.327,0.000,863.800,686.803,0.000,251.832,0.000,0.000,0.000,0.000
1279,468.213,13752.896,13752.896,13266.135,12258.784,5583.292,5067.937,0.000,798.111,0.000,0.000,11.345,0.000,865.180,687.900,0.000,252.234,0.000,0.000,0.000,0.000
1280,468.587,13814.732,13814.732,13273.382,12272.992,5577.566,5078.367,0.000,797.759,0.000,0.000,11.363,0.000,866.559,688.996,0.000,252.636,0.000,0.000,0.000,0.000
1281,468.960,13919.595,13919.595,13280.292,12287.200,5571.371,5088.922,0.000,797.417,0.000,0.000,11.381,0.000,867.936,690.091,0.000,253.037,0.000,0.000,0.000,0.000
1282,469.334,13779.815,13779.815,13286.890,12301.407,5564.726,5099.608,0.000,797.086,0.000,0.000,11.400,0.000,869.311,691.184,0.000,253.438,0.000,0.000,0.000,0.000
1283,469.707,13908.415,13908.415,13293.203,12315.615,5557.650,5110.430,0.000,796.767,0.000,0.000,11.418,0.000,870.685,692.277,0.000,253.839,0.000,0.000,0.000,0.000
1284,470.081,13732.501,13732.501,13299.256,12329.822,5550.165,5121.393,0.000,796.462,0.000,0.000,11.436,0.000,872.057,693.368,0.000,254.239,0.000,0.000,0.000,0.000
1285,470.455,13708.646,13708.646,13305.077,12344.030,5542.290,5132.501,0.000,796.173,0.000,0.000,11.454,0.000,873.427,694.457,0.000,254.638,0.000,0.000,0.000,0.000
1286,470.828,13608.031,13608.031,13310.695,12358.238,5534.048,5143.761,0.000,795.899,0.000,0.000,11.472,0.000,874.795,695.545,0.000,255.037,0.000,0.000,0.000,0.000
1287,471.202,13666.631,13666.631,13316.136,12372.445,5525.460,5155.179,0.000,795.643,0.000,0.000,11.489,0.000,876.161,696.631,0.000,255.435,0.000,0.000,0.000,0.000
1288,471.576,13648.528,13648.528,13321.431,12386.653,5516.549,5166.759,0.000,795.405,0.000,0.000,11.507,0.000,877.525,697.715,0.000,255.833,0.000,0.000,0.000,0.000
1289,471.949,13794.800,13794.800,13326.610,12400.860,5507.337,5178.508,0.000,795.187,0.000,0.000,11.525,0.000,878.886,698.798,0.000,256.230,0.000,0.000,0.000,0.000
1290,472.323,13531.871,13531.871,13331.702,12415.068,5497.849,5190.432,0.000,794.989,0.000,0.000,11.543,0.000,880.246,699.878,0.000,256.626,0.000,0.000,0.000,0.000
1291,472.697,13458.048,13458.048,13336.737,12429.276,5488.107,5202.537,0.000,794.812,0.000,0.000,11.561,0.000,881.602,700.957,0.000,257.022,0.000,0.000,0.000,0.000
1292,473.070,13494.597,13494.597,13341.746,12443.483,5478.135,5214.829,0.000,794.657,0.000,0.000,11.579,0.000,882.957,702.034,0.000,257.417,0.000,0.000,0.000,0.000
1293,473.444,13523.045,13523.045,13346.760,12457.691,5467.957,5227.314,0.000,794.526,0.000,0.000,11.596,0.000,884.309,703.109,0.000,257.811,0.000,0.000,0.000,0.000
1294,473.818,13424.653,13424.653,13351.810,12471.898,5457.597,5239.998,0.000,794.417,0.000,0.000,11.614,0.000,885.658,704.182,0.000,258.204,0.000,0.000,0.000,0.000
1295,474.192,13297.614,13297.614,13356.926,12486.106,5447.078,5252.888,0.000,794.333,0.000,0.000,11.632,0.000,887.005,705.253,0.000,258.597,0.000,0.000,0.000,0.000
1296,474.565,13543.430,13543.430,13354.047,12492.220,5433.375,5262.652,0.000,793.778,0.000,0.000,11.642,0.000,887.774,705.864,0.000,258.821,0.000,0.000,0.000,0.000
1297,474.939,13327.744,13327.744,13351.296,12498.335,5419.565,5272.633,0.000,793.247,0.000,0.000,11.652,0.000,888.541,706.474,0.000,259.044,0.000,0.000,0.000,0.000
1298,475.313,13382.695,13382.695,13348.704,12504.450,5405.670,5282.838,0.000,792.742,0.000,0.000,11.662,0.000,889.304,707.081,0.000,259.267,0.000,0.000,0.000,0.000
1299,475.686,13395.678,13395.678,13346.301,12510.564,5391.714,5293.272,0.000,792.263,0.000,0.000,11.672,0.000,890.065,707.686,0.000,259.489,0.000,0.000,0.000,0.000
1300,476.060,13312.680,13312.680,13344.118,12516.679,5377.721,5303.943,0.000,791.810,0.000,0.000,11.682,0.000,890.823,708.288,0.000,259.710,0.000,0.000,0.000,0.000
1301,476.434,13355.614,13355.614,13342.183,12522.793,5363.712,5314.856,0.000,791.384,0.000,0.000,11.692,0.000,891.578,708.889,0.000,259.930,0.000,0.000,0.000,0.000
1302,476.807,13348.999,13348.999,13340.525,12528.908,5349.711,5326.019,0.000,790.984,0.000,0.000,11.702,0.000,892.331,709.488,0.000,260.150,0.000,0.000,0.000,0.000
1303,477.181,13198.984,13198.984,13339.174,12535.022,5335.739,5337.437,0.000,790.611,0.000,0.000,11.712,0.000,893.082,710.084,0.000,260.368,0.000,0.000,0.000,0.000
1304,477.555,13275.227,13275.227,13338.158,12541.137,5321.818,5349.116,0.000,790.266,0.000,0.000,11.722,0.000,893.829,710.679,0.000,260.586,0.000,0.000,0.000,0.000
1305,477.929,13157.546,13157.546,13337.502,12547.251,5307.969,5361.062,0.000,789.948,0.000,0.000,11.732,0.000,894.575,711.272,0.000,260.804,0.000,0.000,0.000,0.000
1306,478.302,13227.357,13227.357,13337.235,12553.366,5294.213,5373.281,0.000,789.656,0.000,0.000,11.742,0.000,895.319,711.863,0.000,261.021,0.000,0.000,0.000,0.000
1307,478.676,13320.068,13320.068,13337.382,12559.480,5280.568,5385.778,0.000,789.392,0.000,0.000,11.752,0.000,896.060,712.453,0.000,261.237,0.000,0.000,0.000,0.000
1308,479.050,13212.394,13212.394,13337.967,12565.595,5267.055,5398.559,0.000,789.156,0.000,0.000,11.762,0.000,896.800,713.041,0.000,261.452,0.000,0.000,0.000,0.000
1309,479.424,12968.301,12968.301,13339.014,12571.709,5253.692,5411.629,0.000,788.946,0.000,0.000,11.772,0.000,897.538,713.628,0.000,261.668,0.000,0.000,0.000,0.000
1310,479.797,13056.612,13056.612,13340.547,12577.824,5240.498,5424.992,0.000,788.763,0.000,0.000,11.782,0.000,898.275,714.213,0.000,261.882,0.000,0.000,0.000,0.000
1311,480.171,13022.281,13022.281,13342.586,12583.938,5227.488,5438.652,0.000,788.608,0.000,0.000,11.791,0.000,899.010,714.798,0.000,262.097,0.000,0.000,0.000,0.000
1312,480.545,13189.563,13189.563,13345.154,12590.053,5214.681,5452.615,0.000,788.479,0.000,0.000,11.801,0.000,899.745,715.382,0.000,262.311,0.000,0.000,0.000,0.000
1313,480.919,13003.984,13003.984,13348.269,12596.168,5202.091,5466.882,0.000,788.376,0.000,0.000,11.811,0.000,900.478,715.965,0.000,262.525,0.000,0.000,0.000,0.000
1314,481.292,12722.004,12722.004,13351.950,12602.282,5189.733,5481.458,0.000,788.300,0.000,0.000,11.821,0.000,901.210,716.547,0.000,262.738,0.000,0.000,0.000,0.000
1315,481.666,12830.144,12830.144,13356.215,12608.397,5177.622,5496.346,0.000,788.249,0.000,0.000,11.831,0.000,901.943,717.130,0.000,262.952,0.000,0.000,0.000,0.000
1316,482.040,12992.911,12992.911,13361.078,12614.511,5165.772,5511.547,0.000,788.225,0.000,0.000,11.841,0.000,902.675,717.712,0.000,263.165,0.000,0.000,0.000,0.000
1317,482.414,12758.781,12758.781,13366.555,12620.626,5154.194,5527.063,0.000,788.226,0.000,0.000,11.851,0.000,903.406,718.293,0.000,263.378,0.000,0.000,0.000,0.000
1318,482.787,13154.083,13154.083,13372.659,12626.740,5142.901,5542.897,0.000,788.252,0.000,0.000,11.861,0.000,904.139,718.876,0.000,263.592,0.000,0.000,0.000,0.000
1319,483.161,12816.149,12816.149,13379.402,12632.855,5131.903,5559.047,0.000,788.303,0.000,0.000,11.871,0.000,904.871,719.458,0.000,263.805,0.000,0.000,0.000,0.000
1320,483.535,12928.308,12928.308,13386.793,12638.969,5121.211,5575.515,0.000,788.378,0.000,0.000,11.881,0.000,905.604,720.041,0.000,264.019,0.000,0.000,0.000,0.000
1321,483.909,13034.784,13034.784,13394.843,12645.084,5110.834,5592.300,0.000,788.478,0.000,0.000,11.891,0.000,906.339,720.625,0.000,264.233,0.000,0.000,0.000,0.000
1322,484.283,12757.372,12757.372,13403.559,12651.198,5100.780,5609.401,0.000,788.602,0.000,0.000,11.902,0.000,907.074,721.210,0.000,264.448,0.000,0.000,0.000,0.000
1323,484.656,13052.872,13052.872,13412.947,12657.313,5091.057,5626.816,0.000,788.748,0.000,0.000,11.912,0.000,907.811,721.796,0.000,264.663,0.000,0.000,0.000,0.000
1324,485.030,12760.149,12760.149,13423.010,12663.427,5081.672,5644.542,0.000,788.918,0.000,0.000,11.922,0.000,908.550,722.383,0.000,264.878,0.000,0.000,0.000,0.000
1325,485.404,12696.455,12696.455,13433.753,12669.542,5072.632,5662.577,0.000,789.111,0.000,0.000,11.933,0.000,909.291,722.972,0.000,265.094,0.000,0.000,0.000,0.000
1326,485.778,12954.989,12954.989,13445.177,12675.657,5063.940,5680.915,0.000,789.326,0.000,0.000,11.943,0.000,910.034,723.563,0.000,265.311,0.000,0.000,0.000,0.000
1327,486.152,12695.710,12695.710,13457.281,12681.771,5055.602,5699.553,0.000,789.563,0.000,0.000,11.954,0.000,910.780,724.156,0.000,265.528,0.000,0.000,0.000,0.000
1328,486.525,12829.872,12829.872,13470.064,12687.886,5047.621,5718.485,0.000,789.822,0.000,0.000,11.965,0.000,911.529,724.752,0.000,265.746,0.000,0.000,0.000,0.000
1329,486.899,12926.602,12926.602,13483.522,12694.000,5040.001,5737.704,0.000,790.102,0.000,0.000,11.976,0.000,912.281,725.350,0.000,265.966,0.000,0.000,0.000,0.000
1330,487.273,12869.556,12869.556,13497.652,12700.115,5032.744,5757.203,0.000,790.402,0.000,0.000,11.987,0.000,913.036,725.950,0.000,266.186,0.000,0.000,0.000,0.000
1331,487.647,13019.306,13019.306,13512.447,12706.229,5025.851,5776.974,0.000,790.723,0.000,0.000,11.998,0.000,913.795,726.554,0.000,266.407,0.000,0.000,0.000,0.000
1332,488.021,12879.789,12879.789,13527.898,12712.344,5019.323,5797.009,0.000,791.064,0.000,0.000,12.010,0.000,914.559,727.160,0.000,266.630,0.000,0.000,0.000,0.000
1333,488.395,12808.487,12808.487,13543.997,12718.458,5013.160,5817.296,0.000,791.425,0.000,0.000,12.021,0.000,915.326,727.771,0.000,266.853,0.000,0.000,0.000,0.000
