правило порога: доля уровня 0.70, окно уровня 3.0 кэВ (не меньше 4 каналов), рампа от подошвы 0.03 уровня не шире 5 кэВ, уровень держится не ниже 0.50 в окне 9 кэВ, хвост рампы 0.333 ширины подъёма, искать до 20 кэВ

== положительные контроли ==
  OK  S-кривая → порог у верха рампы: порог 14.40 кэВ, доля рампы в нём 0.977, через окно 1.000; рампа 7.60→14.40 кэВ (каналы 44→61; подошва 10.00, середина в канале 57 при уровне 8854, хвост 4)
  OK  жёсткий рез → первый канал: порог 27.20 кэВ; жёсткий рез 27.20 кэВ (канал 93 уже на уровне 5000)
  OK  пик на пороге → отступить к первому каналу: порог 8.00 кэВ; подъём от 8.00 кэВ кончается падением (пик на пороге) — порог по первому каналу
  OK  подъём на десятки кэВ → первый канал: порог 12.00 кэВ (первый ненулевой 12.00); подъём 15.20→21.20 кэВ (от подошвы к уровню 1662) шире рампы (5 кэВ) — порог по первому каналу 12.00
  OK  рампа со структурой над ней → порог у верха рампы: порог 14.80 кэВ, доля рампы в нём 0.990; рампа 8.00→14.80 кэВ (каналы 45→62; подошва 10.00, середина в канале 58 при уровне 1390, хвост 4)
  OK  пара: рез фона выше реза пробы → пол по фону: пол 44.00 кэВ; проба: жёсткий рез 27.20 кэВ (канал 93 уже на уровне 5000); фон: жёсткий рез 44.00 кэВ (канал 135 уже на уровне 100)
контроли: ВСЕ СОШЛИСЬ

спектр                     кто   1-й кан  1-й кэВ    порог чем взят                                                                пол пары чей
G1S24_Bi207_P5             проба      5    15.05    15.05 уровень не устоялся в 20 кэВ от 15.05 кэВ (растущий континуум) — порог по первому каналу     15.05 равны (ниже пусто — не применяется)
G1S24_Bi207_P5             фон        5    15.05    15.05 подъём 17.79→31.53 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 15.05     15.05 равны (ниже пусто — не применяется)
G1S24_Cd109_P5             проба      5     7.38     7.38 подъём от 7.38 кэВ кончается падением (пик на пороге) — порог по первому каналу      7.38 равны (ниже пусто — не применяется)
G1S24_Cd109_P5             фон        5     7.38     7.38 подъём 10.21→24.34 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 7.38      7.38 равны (ниже пусто — не применяется)
G1S24_Co60_P5              проба      5    16.82    16.82 подъём 25.07→33.34 кэВ (от подошвы к уровню 8818) шире рампы (5 кэВ) — порог по первому каналу 16.82     16.82 равны (ниже пусто — не применяется)
G1S24_Co60_P5              фон        5    16.82    16.82 подъём 19.57→33.34 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 16.82     16.82 равны (ниже пусто — не применяется)
G1S24_Cs137_Denta120       проба      5     6.69     6.69 подъём 15.26→23.83 кэВ (от подошвы к уровню 382) шире рампы (5 кэВ) — порог по первому каналу 6.69      6.69 равны (ниже пусто — не применяется)
G1S24_Cs137_Denta120       фон        5     6.69     6.69 подъём 9.55→23.83 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 6.69      6.69 равны (ниже пусто — не применяется)
G1S24_Cs137_Denta120_2     проба      5     7.15     7.15 уровень не устоялся в 20 кэВ от 7.15 кэВ (растущий континуум) — порог по первому каналу      7.15 равны (ниже пусто — не применяется)
G1S24_Cs137_Denta120_2     фон        5     7.15     7.15 подъём 10.00→24.29 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 7.15      7.15 равны (ниже пусто — не применяется)
G1S24_Cs137_Mar            проба      5    11.49    11.49 подъём 19.90→28.32 кэВ (от подошвы к уровню 2271) шире рампы (5 кэВ) — порог по первому каналу 11.49     11.49 равны (ниже пусто — не применяется)
G1S24_Cs137_Mar            фон        5    11.49    11.49 подъём 14.29→28.32 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 11.49     11.49 равны (ниже пусто — не применяется)
G1S24_Cs137_Mar_2          проба      5     7.92     7.92 подъём 13.55→27.66 кэВ (от подошвы к уровню 3749) шире рампы (5 кэВ) — порог по первому каналу 7.92      7.92 равны (ниже пусто — не применяется)
G1S24_Cs137_Mar_2          фон        5     7.92     7.92 подъём 10.74→24.83 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 7.92      7.92 равны (ниже пусто — не применяется)
G1S24_Cs137_P25            проба      5    11.40    11.40 подъём 19.69→28.00 кэВ (от подошвы к уровню 11039) шире рампы (5 кэВ) — порог по первому каналу 11.40     11.40 равны (ниже пусто — не применяется)
G1S24_Cs137_P25            фон        5    11.40    11.40 подъём 16.93→30.77 кэВ (от подошвы к уровню 7422) шире рампы (5 кэВ) — порог по первому каналу 11.40     11.40 равны (ниже пусто — не применяется)
G1S24_Cs137_P5             проба      5    10.75    10.75 подъём 18.99→29.99 кэВ (от подошвы к уровню 67042) шире рампы (5 кэВ) — порог по первому каналу 10.75     10.75 равны (ниже пусто — не применяется)
G1S24_Cs137_P5             фон        5    10.75    10.75 подъём 13.49→27.24 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 10.75     10.75 равны (ниже пусто — не применяется)
G1S24_Cs137_Petri          проба      5     6.06     6.06 подъём 14.64→23.23 кэВ (от подошвы к уровню 542) шире рампы (5 кэВ) — порог по первому каналу 6.06      6.06 равны (ниже пусто — не применяется)
G1S24_Cs137_Petri          фон        5     6.06     6.06 подъём 8.92→23.23 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 6.06      6.06 равны (ниже пусто — не применяется)
G1S24_Cs137_Petri_2        проба      5     1.80     1.80 подъём 7.56→19.09 кэВ (от подошвы к уровню 636) шире рампы (5 кэВ) — порог по первому каналу 1.80      1.80 равны (ниже пусто — не применяется)
G1S24_Cs137_Petri_2        фон        5     1.80     1.80 подъём 4.68→19.09 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 1.80      1.80 равны (ниже пусто — не применяется)
G1S24_Eu152_P5             проба      5     8.83     8.83 уровень не устоялся в 20 кэВ от 8.83 кэВ (растущий континуум) — порог по первому каналу      8.83 равны (ниже пусто — не применяется)
G1S24_Eu152_P5             фон        5     8.83     8.83 подъём 11.60→25.48 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 8.83      8.83 равны (ниже пусто — не применяется)
G1S24_K40_Denta120         проба      5     3.25     3.25 подъём 9.13→20.90 кэВ (от подошвы к уровню 1768) шире рампы (5 кэВ) — порог по первому каналу 3.25      3.25 равны (ниже пусто — не применяется)
G1S24_K40_Denta120         фон        5     3.25     3.25 подъём 6.19→20.90 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 3.25      3.25 равны (ниже пусто — не применяется)
G1S24_K40_Denta120_2       проба      5     6.46     6.46 подъём 12.34→24.10 кэВ (от подошвы к уровню 1695) шире рампы (5 кэВ) — порог по первому каналу 6.46      6.46 равны (ниже пусто — не применяется)
G1S24_K40_Denta120_2       фон        5     6.46     6.46 подъём 9.40→24.10 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 6.46      6.46 равны (ниже пусто — не применяется)
G1S24_K40_Mar              проба      5     5.75     5.75 подъём 11.38→22.64 кэВ (от подошвы к уровню 743) шире рампы (5 кэВ) — порог по первому каналу 5.75      5.75 равны (ниже пусто — не применяется)
G1S24_K40_Mar              фон        5     5.75     5.75 подъём 8.56→22.64 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 5.75      5.75 равны (ниже пусто — не применяется)
G1S24_K40_Mar_2            проба      5     5.77     5.77 подъём 14.25→22.74 кэВ (от подошвы к уровню 610) шире рампы (5 кэВ) — порог по первому каналу 5.77      5.77 равны (ниже пусто — не применяется)
G1S24_K40_Mar_2            фон        5     5.77     5.77 подъём 8.60→22.74 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 5.77      5.77 равны (ниже пусто — не применяется)
G1S24_K40_Petri            проба      5     0.54     0.54 подъём 3.51→18.34 кэВ (от подошвы к уровню 1662) шире рампы (5 кэВ) — порог по первому каналу 0.54      0.54 равны (ниже пусто — не применяется)
G1S24_K40_Petri            фон        5     0.54     0.54 подъём 3.51→18.34 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 0.54      0.54 равны (ниже пусто — не применяется)
G1S24_K40_Petri_2          проба      6     2.03     2.03 подъём 2.03→16.44 кэВ (от подошвы к уровню 300) шире рампы (5 кэВ) — порог по первому каналу 2.03      2.03 равны
G1S24_K40_Petri_2          фон        6     2.03     2.03 подъём 2.03→16.44 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 2.03      2.03 равны
G1S24_Na22_P25             проба      5     5.23     5.23 подъём 13.47→21.73 кэВ (от подошвы к уровню 11567) шире рампы (5 кэВ) — порог по первому каналу 5.23      5.23 равны (ниже пусто — не применяется)
G1S24_Na22_P25             фон        5     5.23     5.23 подъём 10.72→24.48 кэВ (от подошвы к уровню 7422) шире рампы (5 кэВ) — порог по первому каналу 5.23      5.23 равны (ниже пусто — не применяется)
G1S24_Na22_P5              проба      5    30.71    30.71 подъём 38.74→46.79 кэВ (от подошвы к уровню 70803) шире рампы (5 кэВ) — порог по первому каналу 30.71     30.71 равны (ниже пусто — не применяется)
G1S24_Na22_P5              фон        5    30.71    30.71 подъём 33.39→46.79 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 30.71     30.71 равны (ниже пусто — не применяется)
G1S24_Ra226_Denta120       проба      5     5.95     5.95 подъём 14.47→23.00 кэВ (от подошвы к уровню 717) шире рампы (5 кэВ) — порог по первому каналу 5.95      5.95 равны (ниже пусто — не применяется)
G1S24_Ra226_Denta120       фон        5     5.95     5.95 подъём 8.79→23.00 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 5.95      5.95 равны (ниже пусто — не применяется)
G1S24_Ra226_Denta120_2     проба      5     5.43     5.43 подъём 11.11→22.50 кэВ (от подошвы к уровню 2163) шире рампы (5 кэВ) — порог по первому каналу 5.43      5.43 равны (ниже пусто — не применяется)
G1S24_Ra226_Denta120_2     фон        5     5.43     5.43 подъём 8.27→22.50 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 5.43      5.43 равны (ниже пусто — не применяется)
G1S24_Ra226_Mar            проба      5     9.27     9.27 подъём 17.71→28.97 кэВ (от подошвы к уровню 4176) шире рампы (5 кэВ) — порог по первому каналу 9.27      9.27 равны (ниже пусто — не применяется)
G1S24_Ra226_Mar            фон        5     9.27     9.27 подъём 12.08→26.16 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 9.27      9.27 равны (ниже пусто — не применяется)
G1S24_Ra226_Mar_2          проба      5     9.35     9.35 подъём 17.79→29.06 кэВ (от подошвы к уровню 8491) шире рампы (5 кэВ) — порог по первому каналу 9.35      9.35 равны (ниже пусто — не применяется)
G1S24_Ra226_Mar_2          фон        5     9.35     9.35 подъём 12.16→26.24 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 9.35      9.35 равны (ниже пусто — не применяется)
G1S24_Ra226_Petri          проба      5     2.27     2.27 уровень не устоялся в 20 кэВ от 2.27 кэВ (растущий континуум) — порог по первому каналу      2.27 равны (ниже пусто — не применяется)
G1S24_Ra226_Petri          фон        5     2.27     2.27 подъём 5.14→19.48 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 2.27      2.27 равны (ниже пусто — не применяется)
G1S24_Ra226_Petri_2        проба      5     5.12     5.12 подъём 13.68→25.09 кэВ (от подошвы к уровню 2222) шире рампы (5 кэВ) — порог по первому каналу 5.12      5.12 равны (ниже пусто — не применяется)
G1S24_Ra226_Petri_2        фон        5     5.12     5.12 подъём 7.97→22.24 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 5.12      5.12 равны (ниже пусто — не применяется)
G1S24_Th228_P25            проба      5    10.33    10.33 уровень не устоялся в 20 кэВ от 10.33 кэВ (растущий континуум) — порог по первому каналу     10.33 равны (ниже пусто — не применяется)
G1S24_Th228_P25            фон        5    10.33    10.33 подъём 15.85→29.69 кэВ (от подошвы к уровню 7422) шире рампы (5 кэВ) — порог по первому каналу 10.33     10.33 равны (ниже пусто — не применяется)
G1S24_Th228_P5             проба      6     1.26     1.26 уровень не устоялся в 20 кэВ от 1.26 кэВ (растущий континуум) — порог по первому каналу      1.26 равны
G1S24_Th228_P5             фон        6     1.26     1.26 подъём 1.26→15.36 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 1.26      1.26 равны
G1S24_Th232_Denta120       проба      5     1.20     1.20 уровень не устоялся в 20 кэВ от 1.20 кэВ (растущий континуум) — порог по первому каналу      1.20 равны (ниже пусто — не применяется)
G1S24_Th232_Denta120       фон        5     1.20     1.20 подъём 4.08→18.49 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 1.20      1.20 равны (ниже пусто — не применяется)
G1S24_Th232_Denta120_2     проба      5     1.19     1.19 уровень не устоялся в 20 кэВ от 1.19 кэВ (растущий континуум) — порог по первому каналу      1.19 равны (ниже пусто — не применяется)
G1S24_Th232_Denta120_2     фон        5     1.19     1.19 подъём 4.07→18.46 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 1.19      1.19 равны (ниже пусто — не применяется)
G1S24_Th232_Mar            проба      5     0.55     0.55 уровень не устоялся в 20 кэВ от 0.55 кэВ (растущий континуум) — порог по первому каналу      0.55 равны (ниже пусто — не применяется)
G1S24_Th232_Mar            фон        5     0.55     0.55 подъём 3.50→18.27 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 0.55      0.55 равны (ниже пусто — не применяется)
G1S24_Th232_Mar_2          проба      5     9.09     9.09 подъём 17.53→28.80 кэВ (от подошвы к уровню 21376) шире рампы (5 кэВ) — порог по первому каналу 9.09      9.09 равны (ниже пусто — не применяется)
G1S24_Th232_Mar_2          фон        5     9.09     9.09 подъём 11.90→25.98 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 9.09      9.09 равны (ниже пусто — не применяется)
G1S24_Th232_Petri          проба      6     2.03     2.03 подъём 4.91→16.45 кэВ (от подошвы к уровню 3234) шире рампы (5 кэВ) — порог по первому каналу 2.03      2.03 равны
G1S24_Th232_Petri          фон        6     2.03     2.03 подъём 2.03→16.45 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 2.03      2.03 равны
G1S24_Th232_Petri_2        проба      6     2.03     2.03 подъём 7.79→19.31 кэВ (от подошвы к уровню 13839) шире рампы (5 кэВ) — порог по первому каналу 2.03      2.03 равны
G1S24_Th232_Petri_2        фон        6     2.03     2.03 подъём 2.03→16.43 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 2.03      2.03 равны
G1S24_Y88_P25              проба      5    11.17    11.17 подъём 19.46→27.76 кэВ (от подошвы к уровню 1251) шире рампы (5 кэВ) — порог по первому каналу 11.17     11.17 равны (ниже пусто — не применяется)
G1S24_Y88_P25              фон        5    11.17    11.17 подъём 16.70→30.53 кэВ (от подошвы к уровню 7422) шире рампы (5 кэВ) — порог по первому каналу 11.17     11.17 равны (ниже пусто — не применяется)
G1S24_Y88_P5               проба      8     1.75     1.75 подъём 1.75→12.98 кэВ (от подошвы к уровню 7220) шире рампы (5 кэВ) — порог по первому каналу 1.75      1.75 равны
G1S24_Y88_P5               фон        8     1.75     1.75 подъём 1.75→10.17 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 1.75      1.75 равны
G1S24_Zn65_P5              проба      5     8.89     8.89 подъём 11.67→22.80 кэВ (от подошвы к уровню 94) шире рампы (5 кэВ) — порог по первому каналу 8.89      8.89 равны (ниже пусто — не применяется)
G1S24_Zn65_P5              фон        5     8.89     8.89 подъём 11.67→25.59 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 8.89      8.89 равны (ниже пусто — не применяется)
GS4000_Lu176               проба     10     4.21     4.21 жёсткий рез 4.21 кэВ (канал 10 уже на уровне 1310)                          5.51 ФОН
GS4000_Lu176               фон       10     5.51     5.51 подъём от 5.51 кэВ кончается падением (пик на пороге) — порог по первому каналу      5.51 ФОН
GS4000_Ra226               проба     10     4.66     4.66 жёсткий рез 4.66 кэВ (канал 10 уже на уровне 2619)                          5.51 ФОН
GS4000_Ra226               фон       10     5.51     5.51 подъём от 5.51 кэВ кончается падением (пик на пороге) — порог по первому каналу      5.51 ФОН
GS4000_Th232               проба     13     0.55     0.55 жёсткий рез 0.55 кэВ (канал 13 уже на уровне 1006)                          5.51 ФОН
GS4000_Th232               фон       10     5.51     5.51 подъём от 5.51 кэВ кончается падением (пик на пороге) — порог по первому каналу      5.51 ФОН
GS4000_U                   проба     10     1.68     1.68 жёсткий рез 1.68 кэВ (канал 10 уже на уровне 1248)                          1.68 равны (ниже пусто — не применяется)
GS4000_U                   фон       10     1.68     1.68 жёсткий рез 1.68 кэВ (канал 10 уже на уровне 267)                           1.68 равны (ниже пусто — не применяется)
HPGeGEM_K40                проба     18     4.73     4.73 подъём от 4.73 кэВ кончается падением (пик на пороге) — порог по первому каналу      4.73 проба
HPGeGEM_K40                фон       13     2.53     2.53 подъём от 2.53 кэВ кончается падением (пик на пороге) — порог по первому каналу      4.73 проба
HPGeGEM_Ra226              проба     51    16.69    17.05 рампа 16.69→17.05 кэВ (каналы 51→52; подошва 17.05, середина в канале 52 при уровне 508, хвост 0)     17.05 проба
HPGeGEM_Ra226              фон       13     2.53     2.53 подъём от 2.53 кэВ кончается падением (пик на пороге) — порог по первому каналу     17.05 проба
HPGeGEM_Th232              проба     50    16.60    16.96 рампа 16.60→16.96 кэВ (каналы 50→51; подошва 16.96, середина в канале 51 при уровне 744, хвост 0)     16.96 проба
HPGeGEM_Th232              фон       13     2.53     2.53 подъём от 2.53 кэВ кончается падением (пик на пороге) — порог по первому каналу     16.96 проба
HPGeGMX_Background         проба      1     0.07     0.07 жёсткий рез 0.07 кэВ (канал 1 уже на уровне 10)                             0.07 фона нет
HPGeGMX_Eu152              проба     41    14.13    14.13 подъём от 14.13 кэВ кончается падением (пик на пороге) — порог по первому каналу     14.13 проба
HPGeGMX_Eu152              фон        0     0.05     0.05 жёсткий рез 0.05 кэВ (канал 0 уже на уровне 10)                            14.13 проба
HPGeGMX_Th228              проба     38    13.01    13.01 подъём от 13.01 кэВ кончается падением (пик на пороге) — порог по первому каналу     13.01 проба
HPGeGMX_Th228              фон        0     0.05     0.05 жёсткий рез 0.05 кэВ (канал 0 уже на уровне 10)                            13.01 проба
HPGeGMX_Th232              проба     45    15.29    15.29 подъём от 15.29 кэВ кончается падением (пик на пороге) — порог по первому каналу     15.29 проба
HPGeGMX_Th232              фон        0     0.05     0.05 жёсткий рез 0.05 кэВ (канал 0 уже на уровне 10)                            15.29 проба
HPGE_Uranium               проба     20     3.40     3.40 жёсткий рез 3.40 кэВ (канал 20 уже на уровне 1612)                          3.40 фона нет (ниже пусто — не применяется)
LaBrBril_Eu152             проба      5    14.50    14.50 уровень не устоялся в 20 кэВ от 14.50 кэВ (растущий континуум) — порог по первому каналу     14.50 равны (ниже пусто — не применяется)
LaBrBril_Eu152             фон        5    14.50    14.50 уровень не устоялся в 20 кэВ от 14.50 кэВ (растущий континуум) — порог по первому каналу     14.50 равны (ниже пусто — не применяется)
LaBrBril_Th228             проба      5    13.27    13.27 уровень не устоялся в 20 кэВ от 13.27 кэВ (растущий континуум) — порог по первому каналу     13.27 равны (ниже пусто — не применяется)
LaBrBril_Th228             фон        5    13.27    13.27 уровень не устоялся в 20 кэВ от 13.27 кэВ (растущий континуум) — порог по первому каналу     13.27 равны (ниже пусто — не применяется)
OBS_UGlass                 проба     11     0.05     0.05 жёсткий рез 0.05 кэВ (канал 11 уже на уровне 481)                          32.61 ФОН
OBS_UGlass                 фон       17    32.61    32.61 подъём 32.61→44.77 кэВ (от подошвы к уровню 8644) шире рампы (5 кэВ) — порог по первому каналу 32.61     32.61 ФОН
RC101_I131                 проба      8    10.92    10.92 подъём 15.87→23.32 кэВ (от подошвы к уровню 32693) шире рампы (5 кэВ) — порог по первому каналу 10.92     10.92 проба
RC101_I131                 фон        8     7.33     7.33 подъём 10.17→24.37 кэВ (от подошвы к уровню 4142) шире рампы (5 кэВ) — порог по первому каналу 7.33     10.92 проба
RC103_Charoite             проба     10     1.36     1.36 жёсткий рез 1.36 кэВ (канал 10 уже на уровне 724)                           1.36 равны
RC103_Charoite             фон       10     1.36     1.36 жёсткий рез 1.36 кэВ (канал 10 уже на уровне 353)                           1.36 равны
RC103_Cs137_0cm            проба      0     2.20     2.20 подъём от 2.20 кэВ кончается падением (пик на пороге) — порог по первому каналу      2.20 проба
RC103_Cs137_0cm            фон        5     1.98     1.98 подъём 1.98→7.41 кэВ (от подошвы к уровню 8083) шире рампы (5 кэВ) — порог по первому каналу 1.98      2.20 проба
RC103_K40                  проба      7     0.21     0.21 жёсткий рез 0.21 кэВ (канал 7 уже на уровне 14157)                          0.21 равны
RC103_K40                  фон        7     0.21     0.21 жёсткий рез 0.21 кэВ (канал 7 уже на уровне 3720)                           0.21 равны
RC103_K40Village           проба      3     0.37     0.37 подъём 0.37→10.39 кэВ (от подошвы к уровню 11886) шире рампы (5 кэВ) — порог по первому каналу 0.37      0.37 равны
RC103_K40Village           фон        3     0.37     0.37 подъём 0.37→10.39 кэВ (от подошвы к уровню 3720) шире рампы (5 кэВ) — порог по первому каналу 0.37      0.37 равны
RC103_Lu176                проба      1     0.79     0.79 подъём 10.32→17.47 кэВ (от подошвы к уровню 556) шире рампы (5 кэВ) — порог по первому каналу 0.79      0.79 равны
RC103_Lu176                фон        1     0.79     0.79 жёсткий рез 0.79 кэВ (канал 1 уже на уровне 758)                            0.79 равны
RC103_Th232Village         проба      7     1.93     1.93 жёсткий рез 1.93 кэВ (канал 7 уже на уровне 4646)                           1.93 равны
RC103_Th232Village         фон        7     1.93     1.93 жёсткий рез 1.93 кэВ (канал 7 уже на уровне 3720)                           1.93 равны
RC103_Th232WT20            проба      2     1.67     1.67 подъём 9.07→18.95 кэВ (от подошвы к уровню 87748) шире рампы (5 кэВ) — порог по первому каналу 1.67      1.98 ФОН
RC103_Th232WT20            фон        5     1.98     1.98 подъём 1.98→7.41 кэВ (от подошвы к уровню 8083) шире рампы (5 кэВ) — порог по первому каналу 1.98      1.98 ФОН

пробы: рампа 23, жёсткий рез 19, подъём шире рампы 78, пик на пороге 11; пол пары задала проба 21, фон 19, равны 89, фона нет 2; пол не применяется (ниже пусто у обоих) у 61
таблица: C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\handover\p34-fit-floor\thresholds.csv
